Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed,Training Error,Validation Error,Test Error
1,4,52,159,1,1,0.00083279409,4827,0.00065177741,0.0010319051,0.0012184208
2,2,99,173,1,1,0.00088944688,4828,0.00064900535,0.0009773947,0.0016683413
3,4,11,167,1,1,0.00088845443,4829,0.00054244435,0.0012190813,0.0011902087
4,4,48,139,1,1,0.00077786234,4830,0.00072847337,0.00085351217,0.00077537082
5,4,69,193,1,1,0.00086476548,4831,0.00071288496,0.0010823318,0.00091471179
6,2,82,187,1,1,0.00077430144,4832,0.0008013306,0.0008201033,0.00068846214
7,3,40,134,1,1,0.00088810374,4833,0.00061258957,0.0017997807,0.0011624766
8,3,71,134,1,1,0.00086419947,4834,0.00050415889,0.001028747,0.0015694438
9,3,25,174,1,1,0.00085058564,4835,0.00073095476,0.0009988803,0.00089779534
10,3,57,162,1,1,0.00077950353,4836,0.00052640531,0.0016256081,0.0010650874
11,3,67,156,1,1,0.00078304834,4837,0.0006652195,0.0011313964,0.00071755779
12,4,81,119,1,1,0.00083847521,4838,0.00052918209,0.0014769297,0.0013749387
13,4,52,160,1,1,0.0008131413,4839,0.00063371712,0.00091128641,0.00098077148
14,2,80,176,1,1,0.00082616854,4840,0.00070680118,0.00083225961,0.00099689252
15,2,95,152,1,1,0.00070585389,4841,0.00041229048,0.00098133559,0.00086521829
16,3,56,179,1,1,0.00082550958,4842,0.0005860174,0.0010674393,0.00093833202
17,3,33,118,1,1,0.00079820088,4843,0.0005884733,0.0013567638,0.0010365133
18,3,37,185,1,1,0.00082585415,4844,0.00072387082,0.00093309683,0.0008696761
19,3,46,179,1,1,0.00080450037,4845,0.00065767927,0.00085884856,0.00096763357
20,4,100,165,1,1,0.00087290268,4846,0.00079014579,0.0009498467,0.0010827319
