DiameterRemoved,AvgMSE,TrainPerformance,ValPerformance,TestPerformance,MSEDeletedDiameter,MSEBEPs
NaN,0.000853152171167994,0.000846492721911719,0.000829829649245846,0.000886312919458077,NaN,0.000648145138035568
220,0.000992341144219833,0.000665466709355135,0.000989629955367641,0.00147980489634076,16.9474642412929,3.74190579244293
230,0.00232874607424853,0.000856961263402468,0.00135009416815524,0.0054734209095115,3.36178719624848,0.123855918590527
240,0.00240572332040529,0.00107510535597986,0.00138503170869796,0.00538894799161268,4.14527892565292,0.00300236444446938
250,0.000927968228424309,0.00078842952971109,0.000869935217224294,0.00119263376692236,69.0211735340179,8.56686551489816
260,0.000820264531551345,0.000762084371038897,0.000848832583011152,0.00087752493845684,61.1041074589906,0.0512877145524711
