Iteration,Hidden Layer 1 Size,Hidden Layer 2 Size,Max Epochs,Training Function,Activation Function,Final MSE,Random Seed,Training Error,Validation Error,Test Error
1,2,49,255,1,1,0.0024482051,4827,0.0087402159,0.011079808,0.011130975
2,2,49,241,1,1,0.00091043403,4828,0.0010008015,0.00125939,0.00091902401
3,2,49,242,1,1,0.0011570217,4829,0.00064014441,0.001290949,0.00089723615
4,2,49,240,1,1,0.0014951018,4830,0.0087255039,0.010036091,0.011489651
5,2,49,244,1,1,0.0019397881,4831,0.0011676949,0.0016593036,0.0020159006
6,2,48,240,1,1,0.00096510704,4832,0.00086718312,0.00089051063,0.0010355662
7,2,50,242,1,1,0.0011378035,4833,0.0058676066,0.016824819,0.0048649928
8,2,49,244,1,1,0.00091258005,4834,0.01257019,0.07967186,0.41511788
9,2,49,240,1,1,0.02515866,4835,0.00092606251,0.0017536807,0.00091011076
10,2,50,242,1,1,0.01125321,4836,0.0008227833,0.00096937346,0.013906878
11,2,49,240,1,1,0.0016968305,4837,0.00084887095,0.00088658765,0.0015321002
12,2,50,245,1,1,0.00091480619,4838,0.00072455449,,0.0012603059
13,2,49,242,1,1,0.00099540482,4839,0.00088705959,0.0011059831,0.0012623623
14,2,49,240,1,1,0.0010490346,4840,0.00096827019,0.0010285974,0.0010481744
15,2,50,245,1,1,0.0009789033,4841,0.00080776569,0.0010541905,0.00088922749
16,2,49,240,1,1,0.0010396114,4842,0.00077368378,,0.00099095294
17,2,49,240,1,1,0.0026037045,4843,0.0030591387,0.062979498,0.0095543221
18,2,50,245,1,1,0.0011889017,4844,0.0057499037,0.008520721,0.01010439
19,2,49,243,1,1,0.00098051628,4845,0.00070879211,0.014337938,0.03850919
20,2,50,243,1,1,0.00089382947,4846,0.00086088343,0.00092992238,0.00070550465
