PointIndex,PercentError_CAS_260,PercentError_CAS_Nearest,PercentError_NN
1,241.104476979595,0.0983367725836424,0.00120866498527696
2,241.763388211409,0.00948250411860964,0.00613516066367914
3,238.946406051206,0.00370180482442824,0.0315084567121223
4,228.263702715165,0.0550515951274292,0.0119730663055861
5,245.511442175983,0.00623365114880524,0.0424290473430434
